ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Total Students All Grades (Excludes AE) [Public School] 2024-25,Total Students All Grades (Excludes AE) [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2022-23,Total Students All Grades (Excludes AE) [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2020-21,Total Students All Grades (Excludes AE) [Public School] 2019-20,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2006-07,Total Students All Grades (Excludes AE) [Public School] 2002-03,Total Students All Grades (Excludes AE) [Public School] 1998-99,Total Students All Grades (Excludes AE) [Public School] 1994-95,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1986-87,Longitude [Public School] 2024-25,Longitude [Public School] 2023-24,Longitude [Public School] 2022-23,Longitude [Public School] 2021-22,Longitude [Public School] 2020-21,Longitude [Public School] 2019-20,Longitude [Public School] 2018-19,Longitude [Public School] 2017-18,Longitude [Public School] 2014-15,Longitude [Public School] 2010-11,Longitude [Public School] 2006-07,Longitude [Public School] 2002-03,Latitude [Public School] 2024-25,Latitude [Public School] 2023-24,Latitude [Public School] 2022-23,Latitude [Public School] 2021-22,Latitude [Public School] 2020-21,Latitude [Public School] 2019-20,Latitude [Public School] 2018-19,Latitude [Public School] 2017-18,Latitude [Public School] 2014-15,Latitude [Public School] 2010-11,Latitude [Public School] 2006-07,Latitude [Public School] 2002-03,Free Lunch Eligible [Public School] 2024-25,Free Lunch Eligible [Public School] 2023-24,Free Lunch Eligible [Public School] 2022-23,Free Lunch Eligible [Public School] 2021-22,Free Lunch Eligible [Public School] 2020-21,Free Lunch Eligible [Public School] 2019-20,Free Lunch Eligible [Public School] 2018-19,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2014-15,Free Lunch Eligible [Public School] 2010-11,Free Lunch Eligible [Public School] 2006-07,Free Lunch Eligible [Public School] 2002-03,Free Lunch Eligible [Public School] 1998-99,Free Lunch Eligible [Public School] 1994-95,Free Lunch Eligible [Public School] 1990-91
ABC BILINGUAL COMM ACADEMY PCS,District of Columbia,110004700299,†,†,†,†,†,†,†,†,†,†,109,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.014000,†,†,†,†,†,†,†,†,†,†,†,38.942200,†,†,†,†,†,†,†,†,†,†,†,–,†,†,†,†
ACADEMY FOR ED LEARNING THR THE ARTS PCS,District of Columbia,110005000300,†,†,†,†,†,†,†,†,†,†,85,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-77.035600,†,†,†,†,†,†,†,†,†,†,†,38.918300,†,†,†,†,†,†,†,†,†,†,†,26,†,†,†,†
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,110009400484,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,-76.997891,†,†,†,†,†,†,†,†,†,†,†,38.923810,†,†,†,†,†,†,†,†,†,†,†,17,†,†,†,†,†,†
ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE ES,District of Columbia,110007200473,409,323,228,199,261,384,375,486,267,†,†,†,†,†,†,†,-76.992384,-76.992384,-76.992384,-76.992384,-76.992384,-76.992384,-76.992384,-76.992384,-76.984831,†,†,†,38.834302,38.834302,38.834302,38.834302,38.834302,38.834302,38.834302,38.834302,38.841540,†,†,†,–,–,–,–,–,–,–,–,167,†,†,†,†,†,†
ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE MS,District of Columbia,110007200405,†,†,†,†,†,361,450,476,381,138,†,†,†,†,†,†,†,†,†,†,†,-76.992349,-76.992349,-76.992349,-76.992467,-76.992635,†,†,†,†,†,†,†,38.834334,38.834334,38.834334,38.833889,38.833978,†,†,†,†,†,†,†,–,–,–,248,130,†,†,†,†,†
ADAMS ELEMENTARY SCHOOL                           ,District of Columbia,110003000123,†,†,†,†,†,†,†,†,†,†,171,299,372,334,339,369,†,†,†,†,†,†,†,†,†,†,-77.044070,-77.044069,†,†,†,†,†,†,†,†,†,†,38.917110,38.917114,†,†,†,†,†,†,†,†,†,†,114,172,–,241,161
ADOLESCENT DAY PROGRAM,District of Columbia,110003000204,†,†,†,†,†,†,†,†,†,†,†,†,18,20,21,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,0,0
AMIDON-BOWEN ES,District of Columbia,110003000121,374,365,336,335,315,335,339,351,345,269,276,438,426,440,383,483,-77.018149,-77.018149,-77.018149,-77.018149,-77.018149,-77.018149,-77.018149,-77.018149,-77.018149,-77.018128,-77.017570,-77.017568,38.879823,38.879823,38.879823,38.879823,38.879823,38.879823,38.879823,38.879823,38.879823,38.879681,38.879380,38.879378,–,–,–,–,–,–,–,–,345,250,187,255,–,217,161
ANACOSTIA HS,District of Columbia,110003000085,246,244,287,321,326,321,296,379,661,858,905,693,636,741,740,1368,-76.982691,-76.982691,-76.982691,-76.982691,-76.982691,-76.982691,-76.982691,-76.982691,-76.983142,-76.982297,-76.982340,-76.982339,38.869920,38.869920,38.869920,38.869920,38.869920,38.869920,38.869920,38.869920,38.870073,38.870702,38.871080,38.871075,–,–,–,–,–,–,–,–,661,694,495,409,–,269,39
APPLETREE EARLY LEARNING CENTER PCS - COLUMBIA HEIGHTS,District of Columbia,110005400304,119,123,98,111,106,147,154,162,163,119,36,†,†,†,†,†,-77.032604,-77.032604,-77.032604,-77.032604,-77.032604,-77.032604,-77.032604,-77.032604,-77.032701,-77.021053,-76.996000,†,38.925304,38.925304,38.925304,38.925304,38.925304,38.925304,38.925304,38.925304,38.925190,38.879245,38.883600,†,–,–,–,–,–,–,–,–,142,64,17,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - DOUGLAS KNOLL,District of Columbia,110005400447,39,51,53,52,61,89,90,181,178,†,†,†,†,†,†,†,-76.974560,-76.974560,-76.974560,-76.974560,-76.974560,-76.974560,-76.974560,-76.974560,-76.974831,†,†,†,38.848622,38.848622,38.848622,38.848622,38.848622,38.848622,38.848622,38.848622,38.848630,†,†,†,–,–,–,–,–,–,–,–,178,†,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - LINCOLN PARK,District of Columbia,110005400448,61,59,60,58,55,60,60,60,60,†,†,†,†,†,†,†,-76.990651,-76.990651,-76.990651,-76.990651,-76.990651,-76.990651,-76.990651,-76.990651,-76.990651,†,†,†,38.891490,38.891490,38.891490,38.891490,38.891490,38.891490,38.891490,38.891490,38.891490,†,†,†,–,–,–,–,–,–,–,–,57,†,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - OKLAHOMA AVENUE,District of Columbia,110005400435,84,160,101,78,113,149,151,143,161,119,†,†,†,†,†,†,-76.975461,-76.975461,-76.975461,-76.975461,-76.975461,-76.975461,-76.975461,-76.975461,-76.975104,-76.976543,†,†,38.894180,38.894180,38.894180,38.894180,38.894180,38.894180,38.894180,38.894180,38.894051,38.889736,†,†,–,–,–,–,–,–,–,–,147,79,†,†,†,†,†
