ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Grades 1-8 Students [Public School] 2024-25,Grades 1-8 Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2022-23,Grades 1-8 Students [Public School] 2021-22,Grades 1-8 Students [Public School] 2020-21,Grades 1-8 Students [Public School] 2019-20,Grades 1-8 Students [Public School] 2018-19,Grades 1-8 Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2014-15,Grades 1-8 Students [Public School] 2010-11,Grades 1-8 Students [Public School] 2006-07,Grades 1-8 Students [Public School] 2002-03,Grades 1-8 Students [Public School] 1998-99,Grades 9-12 Students [Public School] 2024-25,Grades 9-12 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2022-23,Grades 9-12 Students [Public School] 2021-22,Grades 9-12 Students [Public School] 2020-21,Grades 9-12 Students [Public School] 2019-20,Grades 9-12 Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2014-15,Grades 9-12 Students [Public School] 2010-11,Grades 9-12 Students [Public School] 2006-07,Grades 9-12 Students [Public School] 2002-03,Grades 9-12 Students [Public School] 1998-99,Black or African American Students [Public School] 2024-25,Black or African American Students [Public School] 2023-24,Black or African American Students [Public School] 2022-23,Black or African American Students [Public School] 2021-22,Black or African American Students [Public School] 2020-21,Black or African American Students [Public School] 2019-20,Black or African American Students [Public School] 2018-19,Black or African American Students [Public School] 2017-18,Black or African American Students [Public School] 2014-15,Black or African American Students [Public School] 2010-11,Black or African American Students [Public School] 2006-07,Black or African American Students [Public School] 2002-03,Black or African American Students [Public School] 1998-99,Black or African American Students [Public School] 1994-95,Black or African American Students [Public School] 1990-91,White Students [Public School] 2024-25,White Students [Public School] 2023-24,White Students [Public School] 2022-23,White Students [Public School] 2021-22,White Students [Public School] 2020-21,White Students [Public School] 2019-20,White Students [Public School] 2018-19,White Students [Public School] 2017-18,White Students [Public School] 2014-15,White Students [Public School] 2010-11,White Students [Public School] 2006-07,White Students [Public School] 2002-03,White Students [Public School] 1998-99,White Students [Public School] 1994-95,White Students [Public School] 1990-91,Total Race/Ethnicity [Public School] 2024-25,Total Race/Ethnicity [Public School] 2023-24,Total Race/Ethnicity [Public School] 2022-23,Total Race/Ethnicity [Public School] 2021-22,Total Race/Ethnicity [Public School] 2020-21,Total Race/Ethnicity [Public School] 2019-20,Total Race/Ethnicity [Public School] 2018-19,Total Race/Ethnicity [Public School] 2017-18,Total Race/Ethnicity [Public School] 2014-15,Total Race/Ethnicity [Public School] 2010-11,Total Race/Ethnicity [Public School] 2006-07,Total Race/Ethnicity [Public School] 2002-03,Total Race/Ethnicity [Public School] 1998-99
ABC BILINGUAL COMM ACADEMY PCS,District of Columbia,110004700299,†,†,†,†,†,†,†,†,†,†,109,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,62,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†,†,†,†,†,†,†,†,†,†,†,109,†,†
ACADEMY FOR ED LEARNING THR THE ARTS PCS,District of Columbia,110005000300,†,†,†,†,†,†,†,†,†,†,48,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,68,†,†,†,†,†,†,†,†,†,†,†,†,†,†,11,†,†,†,†,†,†,†,†,†,†,†,†,†,†,85,†,†
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,110009400484,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE ES,District of Columbia,110007200473,277,207,129,98,130,177,170,256,200,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,387,304,215,189,250,375,364,472,266,†,†,†,†,†,†,0,0,0,–,–,0,–,3,1,†,†,†,†,†,†,409,323,228,199,261,384,375,486,267,†,†,†,†
ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE MS,District of Columbia,110007200405,†,†,†,†,†,361,444,476,381,138,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,356,439,469,379,138,†,†,†,†,†,†,†,†,†,†,0,–,–,2,0,†,†,†,†,†,†,†,†,†,†,361,450,476,381,138,†,†,†
ADAMS ELEMENTARY SCHOOL                           ,District of Columbia,110003000123,†,†,†,†,†,†,†,†,†,†,103,230,295,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,62,134,173,176,171,†,†,†,†,†,†,†,†,†,†,9,14,11,17,17,†,†,†,†,†,†,†,†,†,†,171,299,372
ADOLESCENT DAY PROGRAM,District of Columbia,110003000204,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,18,18,21,†,†,†,†,†,†,†,†,†,†,†,†,0,1,0,†,†,†,†,†,†,†,†,†,†,†,†,18
AMIDON-BOWEN ES,District of Columbia,110003000121,252,234,214,225,210,205,211,249,231,214,214,334,314,†,†,†,†,†,†,†,†,†,†,†,†,†,268,270,253,255,235,261,273,291,304,265,255,396,388,415,370,48,51,40,40,34,35,32,25,11,0,1,3,7,4,3,374,365,336,335,315,335,339,351,345,269,276,438,426
ANACOSTIA HS,District of Columbia,110003000085,†,†,†,†,†,†,†,†,†,†,†,†,†,246,244,287,321,326,321,296,379,661,828,905,657,612,227,235,280,314,320,313,288,374,659,854,904,691,635,740,731,0,1,0,1,–,0,–,–,0,0,0,0,0,1,1,246,244,287,321,326,321,296,379,661,858,905,693,636
APPLETREE EARLY LEARNING CENTER PCS - COLUMBIA HEIGHTS,District of Columbia,110005400304,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,81,86,70,82,64,77,92,94,113,58,33,†,†,†,†,4,5,6,8,25,25,42,24,34,22,2,†,†,†,†,119,123,98,111,106,147,154,162,163,119,36,†,†
