ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,School ID (12-digit) - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2024-25,American Indian/Alaska Native Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2022-23,American Indian/Alaska Native Students [Public School] 2021-22,American Indian/Alaska Native Students [Public School] 2020-21,American Indian/Alaska Native Students [Public School] 2019-20,American Indian/Alaska Native Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2002-03,American Indian/Alaska Native Students [Public School] 1998-99,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1990-91
ABC BILINGUAL COMM ACADEMY PCS,District of Columbia,110004700299,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
ACADEMY FOR ED LEARNING THR THE ARTS PCS,District of Columbia,110005000300,†,†,†,†,†,†,†,†,†,†,0,†,†,†,†
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,110009400484,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE ES,District of Columbia,110007200473,1,2,1,1,–,2,2,–,0,†,†,†,†,†,†
ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE MS,District of Columbia,110007200405,†,†,†,†,†,0,2,1,0,0,†,†,†,†,†
ADAMS ELEMENTARY SCHOOL                           ,District of Columbia,110003000123,†,†,†,†,†,†,†,†,†,†,1,1,1,0,2
ADOLESCENT DAY PROGRAM,District of Columbia,110003000204,†,†,†,†,†,†,†,†,†,†,†,†,0,0,0
AMIDON-BOWEN ES,District of Columbia,110003000121,0,0,0,–,1,0,–,–,0,1,0,0,0,0,0
ANACOSTIA HS,District of Columbia,110003000085,0,0,0,–,–,0,–,–,0,0,0,0,0,0,0
APPLETREE EARLY LEARNING CENTER PCS - COLUMBIA HEIGHTS,District of Columbia,110005400304,0,0,0,–,–,1,3,1,0,0,0,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - DOUGLAS KNOLL,District of Columbia,110005400447,0,1,0,–,–,1,2,–,0,†,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - LINCOLN PARK,District of Columbia,110005400448,0,0,1,1,1,1,1,1,0,†,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - OKLAHOMA AVENUE,District of Columbia,110005400435,2,1,2,1,–,1,–,–,0,0,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - PARKLANDS AT THEARC,DISTRICT OF COLUMBIA,110005400517,1,0,0,–,–,0,1,†,†,†,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - SOUTHWEST,District of Columbia,110005400413,0,0,1,1,1,†,1,–,2,0,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS - SPRING VALLEY,DISTRICT OF COLUMBIA,110005400782,0,†,†,†,†,†,†,†,†,†,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS AMIDON,District of Columbia,110005400415,†,†,†,†,†,†,†,†,†,0,†,†,†,†,†
APPLETREE EARLY LEARNING CENTER PCS PARKLAND,District of Columbia,110005400451,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
APPLETREE EARLY LEARNING PCS - WATERFRONT STATION,DISTRICT OF COLUMBIA,110005400783,0,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ARMSTRONG CAREER DIVERSION PRO,District of Columbia,110003000018,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†
ARTS AND TECHNOLOGY PCS,District of Columbia,110000100215,†,†,†,†,†,†,†,†,†,0,0,0,†,†,†
ASSOCIATES FOR RENEWAL IN EDUCATION PCS           ,District of Columbia,110000200216,†,†,†,†,†,†,†,†,†,†,†,0,†,†,†
BACKUS MS,District of Columbia,110003000154,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
BALLOU HS,District of Columbia,110003000084,0,1,1,1,1,0,–,–,0,1,0,1,0,0,0
BALLOU STAY HS,District of Columbia,110003000207,0,0,0,–,–,0,–,–,†,0,0,1,0,0,0
BANCROFT ES,District of Columbia,110003000120,2,2,3,2,2,2,1,–,0,1,2,0,0,1,0
BARBARA JORDAN PCS,District of Columbia,110002800244,†,†,†,†,†,†,†,†,†,†,0,0,†,†,†
BARD HS EARLY COLLEGE DC (BARD DC),DISTRICT OF COLUMBIA,110003000529,4,1,2,1,1,1,†,†,†,†,†,†,†,†,†
BARNARD ES,District of Columbia,110003000119,0,0,0,–,–,0,–,–,0,1,0,0,0,0,0
BASIS DC PCS,District of Columbia,110008300443,2,2,1,1,1,3,4,1,1,†,†,†,†,†,†
BEERS ES,District of Columbia,110003000118,3,0,0,–,–,0,–,–,0,0,0,0,0,0,0
BELL MULTICULTURAL SHS,District of Columbia,110003000058,†,†,†,†,†,†,†,†,†,†,1,0,1,0,0
BENJAMIN BANNEKER HS,District of Columbia,110003000153,1,1,1,2,1,1,1,–,2,0,0,0,0,0,0
BENNING ES,District of Columbia,110003000117,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
BIRNEY ES,District of Columbia,110003000116,†,†,†,†,†,†,†,†,†,†,0,0,0,0,0
BLOW ELEMENTARY SCHOOL,District of Columbia,110003000115,†,†,†,†,†,†,†,†,†,†,†,†,†,0,0
BOOKER T  WASHINGTON PCS,District of Columbia,110000300217,†,†,†,†,†,†,†,†,†,0,0,0,†,†,†
BOWEN ES,District of Columbia,110003000114,†,†,†,†,†,†,†,†,†,†,1,0,0,0,0
BREAKTHROUGH MONTESSORI PCS,DISTRICT OF COLUMBIA,110010400507,0,0,1,1,–,0,–,1,†,†,†,†,†,†,†
BRENT ES,District of Columbia,110003000113,0,1,0,–,–,1,1,4,1,0,1,1,2,0,0
BRIDGES PCS,District of Columbia,110005500305,0,1,1,–,–,0,1,2,0,0,0,†,†,†,†
BRIGHTWOOD ES,District of Columbia,110003000112,0,0,1,1,1,1,1,1,0,2,0,0,0,0,0
BRIYA PCS,District of Columbia,110001600333,†,†,†,†,†,†,†,†,0,0,0,†,†,†,†
BROOKLAND MS,DISTRICT OF COLUMBIA,110003000494,0,0,0,–,1,1,–,–,†,†,†,†,†,†,†
BROWNE CENTER SPEC ED BROWNE JHS,District of Columbia,110003000260,†,†,†,†,†,†,†,†,†,†,0,0,†,†,†
BROWNE EDUCATION CAMPUS,District of Columbia,110003000152,0,0,0,–,–,1,–,–,0,0,0,0,0,0,0
BRUCE-MONROE ES AT PARK VIEW,District of Columbia,110003000110,0,0,1,2,2,2,2,2,0,1,0,0,0,1,0
BUCHANAN LEARNING CENTER,District of Columbia,110003000193,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0
BUNKER HILL ES,District of Columbia,110003000111,0,0,0,–,–,0,–,–,0,1,0,0,0,0,0
BUNKER HILL ES,District of Columbia,110003000108,†,†,†,†,†,†,†,†,†,†,0,1,0,0,0
BURDICK CAREER CENTER,District of Columbia,110003000057,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0
BURROUGHS ES,District of Columbia,110003000107,0,0,0,–,–,0,–,–,0,0,0,0,0,0,1
