ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): DISTRICT OF COLUMBIA

School Name,State Name [Public School] Latest available year,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2024-25,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2022-23,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2021-22,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2020-21,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2019-20,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2018-19,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2014-15,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2010-11,School ID (12-digit) - NCES Assigned [Public School] Latest available year
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,†,†,†,†,†,†,†,†,†,†,110009400484
ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE ES,District of Columbia,0,0,0,–,–,1,1,–,0,†,110007200473
ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE MS,District of Columbia,†,†,†,†,†,0,1,–,0,0,110007200405
AMIDON-BOWEN ES,District of Columbia,1,1,0,–,–,0,–,–,2,0,110003000121
ANACOSTIA HS,District of Columbia,0,0,0,–,–,0,–,–,0,0,110003000085
APPLETREE EARLY LEARNING CENTER PCS - COLUMBIA HEIGHTS,District of Columbia,1,0,0,1,–,0,2,–,0,0,110005400304
APPLETREE EARLY LEARNING CENTER PCS - DOUGLAS KNOLL,District of Columbia,0,0,0,–,–,0,–,–,0,†,110005400447
APPLETREE EARLY LEARNING CENTER PCS - LINCOLN PARK,District of Columbia,0,0,0,–,–,0,–,–,0,†,110005400448
APPLETREE EARLY LEARNING CENTER PCS - OKLAHOMA AVENUE,District of Columbia,0,0,0,–,–,0,–,–,0,0,110005400435
APPLETREE EARLY LEARNING CENTER PCS - PARKLANDS AT THEARC,DISTRICT OF COLUMBIA,1,0,1,–,–,0,–,†,†,†,110005400517
APPLETREE EARLY LEARNING CENTER PCS - SOUTHWEST,District of Columbia,0,0,1,1,–,†,–,–,0,0,110005400413
APPLETREE EARLY LEARNING CENTER PCS - SPRING VALLEY,DISTRICT OF COLUMBIA,0,†,†,†,†,†,†,†,†,†,110005400782
