group, age, decade, net_migration_per_100_people
Total, 0-4, 2010, -9.56
Total, 5-9, 2010, -19.3
Total, 10-14, 2010, -12.74
Total, 15-19, 2010, 40.61
Total, 0-4, 2000, -20.9
Total, 5-9, 2000, -30.3
Total, 10-14, 2000, -26.5
Total, 15-19, 2000, 10.3
Total, 0-4, 1990, -12.4
Total, 5-9, 1990, -31.4
Total, 10-14, 1990, -28.2
Total, 15-19, 1990, 8.8

NH_Black, 0-4, 2010, -14.26
NH_Black, 5-9, 2010, -14.8
NH_Black, 10-14, 2010, -8.38
NH_Black, 15-19, 2010, 8.21
NH_Black, 0-4, 2000, -18.4
NH_Black, 5-9, 2000, -26.5
NH_Black, 10-14, 2000, -22.4
NH_Black, 15-19, 2000, -13.3
NH_Black, 0-4, 1990, -14.8
NH_Black, 5-9, 1990, -30.5
NH_Black, 10-14, 1990, -27.9
NH_Black, 15-19, 1990, -18.5

NH_White, 0-4, 2010, -9.47
NH_White, 5-9, 2010, -36.41
NH_White, 10-14, 2010, -32.63
NH_White, 15-19, 2010, 131
NH_White, 0-4, 2000, -22.8
NH_White, 5-9, 2000, -41.4
NH_White, 10-14, 2000, -35.8
NH_White, 15-19, 2000, 164.9
NH_White, 0-4, 1990, -17.4
NH_White, 5-9, 1990, -42.6
NH_White, 10-14, 1990, -41.2
NH_White, 15-19, 1990, 143.2
